GEOID,DST_NUM,DST_TYE,District,DST_NAM,ADMTOTAL,GeneralFundExpenditures,PerPupilExp,AvgTeacherSal,ReadingProficiency
2702760,0001,01,0001-01,Aitkin Public School District,1177.69,12036522,10220.45,55454,0.576385714
2721240,0001,03,0001-03,Minneapolis Public School District,34088.09,439046660,12879.77,70659,0.4648
2714010,0002,01,0002-01,Hill City Public School District,264.67,3787461,14310.13,55552,0.462828571
2719170,0004,01,0004-01,McGregor Public School District,464.3,5596677,12054.01,50071,0.492585714
2733270,0006,03,0006-03,South St. Paul Public School District,3419.29,34984783,10231.59,65558,0.450614286
2703180,0011,01,0011-01,Anoka-Hennepin Public School District,38121.71,427741016,11220.40,70407,0.650485714
2708100,0012,01,0012-01,Centennial Public School District,6575.93,71503817,10873.57,66703,0.688528571
2709510,0013,01,0013-01,Columbia Heights Public School District,3457.95,34927109,10100.52,66754,0.350957143
2712420,0014,01,0014-01,Fridley Public School District,2899.39,33593832,11586.52,62370,0.441814286
2733540,0015,01,0015-01,St. Francis Public School District,4356.21,42954903,9860.61,62596,0.607257143
