id,districtname,admtotal,generalfundexpends,perpupilexpends,avgteachersalary,readingproficiency,total_enroll,female_pct,male_pct,aian_pct,asian_pct,nhpi_pct,hisla_pct,black_pct,white_pct,twomo_pct,meals_pct,medianhouseincome,mhi_marginoferror,nocomp_cnt,nocomp_pct,yescomp_cnt,yescomp_pct,nointernet_cnt,nointernet_pct,yesinternet_cnt,yesinternet_pct,lat,lng
2741910,Watertown-Mayer Public School District,1535.33,14911126,9712,56594,64.5914286,1552,47.87,52.13,0.45,0.77,0,1.68,0.71,94.26,2.13,19.59,86875,4543,301,7.820213042,3548,92.17978696,346,8.885464818,3548,91.11453518,44.9437455,-93.8830768
2708190,Eastern Carver County Public Schools,9673.13,107996917,11164.63,70239,67.0157143,9829,48.5,51.5,0.24,3.99,0.05,9.44,4.81,76.46,5.01,17.14,101661,4556,914,4.164957849,21031,95.83504215,1351,6.036100438,21031,93.96389956,44.8002412,-93.6379176
2702910,Walker-Hackensack-Akeley School District,769.62,9261043,12033.27,52748,53.9128571,799,46.43,53.57,22.4,0.5,0,2.88,0.25,66.34,7.63,49.69,49932,2359,443,11.43816163,3430,88.56183837,644,15.80756014,3430,84.19243986,47.0446058,-94.5583883
2708070,Cass Lake-Bena Public Schools,1158.74,21507053,18560.72,56748,35.2757143,1211,47.89,52.11,81.75,0,0.08,2.23,0.17,7.26,8.51,82,40507,2318,326,16.68372569,1628,83.31627431,422,20.58536585,1628,79.41463415,47.3331398,-94.3905378
2728350,Pillager Public School District,1166.01,10312923,8844.63,54983,59.75,1164,48.02,51.98,0.34,0.09,0,2.15,0.52,94.92,1.98,42.44,65490,4279,252,10.16949153,2226,89.83050847,343,13.35149864,2226,86.64850136,46.3477855,-94.4646279
2730870,Northland Community Schools,327.35,6038520,18446.68,52789,39.8033333,360,52.78,47.22,38.33,0.28,0.28,0.56,0.56,57.49,2.5,68.06,44496,3514,363,13.84439359,2259,86.15560641,527,18.91600861,2259,81.08399139,47.0544103,-94.0510611
2721320,Montevideo Public School District,1567.26,15043396,9598.53,62060,58.5785714,1409,47.48,52.52,0.57,0.35,0.78,19.38,1.49,73.46,3.97,43.72,51147,5587,573,15.22721233,3190,84.77278767,724,18.49770056,3190,81.50229944,44.9856003,-95.7060085
2723820,North Branch Public Schools,2692.7,27562973,10236.18,62287,55.52,2731,48.55,51.45,0.7,2.71,0,4.1,1.24,88.47,2.78,29,79170,4080,709,8.606457878,7529,91.39354212,841,10.04778973,7529,89.95221027,45.5052345,-92.9526805
2732550,Rush City Public School District,848.18,7891842,9304.44,50285,67.0014286,848,48.47,51.53,1.18,1.3,0,3.66,0.59,90.79,2.48,30.66,65905,6599,253,10.42009885,2175,89.57990115,384,15.00586166,2175,84.99413834,45.6742649,-92.9702159
2703660,Barnesville Public School District,879.17,8618085,9802.52,59458,77.0514286,868,45.39,54.61,0.23,0.23,0,1.38,0.46,94.94,2.76,17.05,79125,6580,255,12.58016774,1772,87.41983226,327,15.57884707,1772,84.42115293,46.652391,-96.4724032
2713560,Hawley Public School District,987.42,8766777,8878.47,60606,69.0814286,975,47.49,52.51,0.82,0.41,0.1,2.46,0.1,94.06,2.05,13.95,77865,5004,246,12.85266458,1668,87.14733542,353,17.46660069,1668,82.53339931,46.8477456,-96.3122452
2721420,Moorhead Public School District,6857.35,72279388,10540.43,57577,52.7485714,7027,48.51,51.49,2.89,0.97,0.04,8.34,9.9,71.1,6.76,40.23,62464,3150,1938,9.961449499,17517,90.0385505,2687,13.29934666,17517,86.70065334,46.8979991,-96.7204655
2703570,Bagley Public School District,992.89,11000574,11079.35,56447,49.7742857,1024,48.24,51.76,18.55,0.39,0,0.88,1.07,71.4,7.71,47.95,45381,2654,438,15.52090716,2384,84.47909284,535,18.32819459,2384,81.67180541,47.396434,-95.3651415
2713110,Cook County Public Schools,463.8,5943384,12814.54,50172,58.53,500,43.2,56.8,13.6,0.2,0.8,5.6,0.2,72.6,7,36.4,52271,3328,285,9.550938338,2699,90.44906166,416,13.35473515,2699,86.64526485,47.7246717,-90.4437558
2723010,Mountain Lake Public Schools,509.35,5562343,10920.47,54787,56.5842857,516,48.45,51.55,0,12.6,0,22.29,2.13,57.94,5.04,53.29,52589,5134,221,14.80241125,1272,85.19758875,294,18.77394636,1272,81.22605364,43.9386145,-94.9535831
2742780,Windom Public School District,1077.41,12649677,11740.82,47712,57.6328571,1064,45.77,54.23,0,1.97,1.88,19.17,1.69,70.59,4.7,43.8,51509,6421,388,13.06837319,2581,86.93162681,466,15.29373154,2581,84.70626846,43.8793689,-95.1436626
2706090,Brainerd Public School District,6572.89,71227350,10836.53,62693,67.92,6812,48.93,51.07,1.78,0.6,0.04,1.32,1.32,91.62,3.32,40.59,55821,2140,2051,10.31378859,17835,89.68621141,2689,13.10173455,17835,86.89826545,46.3229193,-94.1252103
2709750,Crosby-Ironton Public School District,1043.12,11427562,10955.17,56680,64.2871429,1048,49.33,50.67,0.67,0.38,0,1.81,0.76,91.51,4.87,42.37,51298,2876,604,11.30662673,4738,88.69337327,777,14.08884859,4738,85.91115141,46.5777636,-93.9814824
