GEOID,DST_NAM,ORGID
2700104,West Central Area,012342000000
2791446,Tri-County School District,012358000000
2700105,Belgrade-Brooten-Elrosa Public School District,012364000000
2712580,G.F.W. Public School District,012365000000
2700106,A.C.G.C. Public School District,012396000000
2718070,Le Sueur-Henderson School District,012397000000
2718960,Martin County West School District,012448000000
2791448,Norman County West School District,012527000000
2705660,Bird Island-Olivia-Lake Lillian Public School District,012534000000
2713040,Granada-Huntley-East Chain,012536000000
2711085,East Central School District,012580000000
2791449,Win-E-Mac School District,012609000000
2700107,Greenbush-Middle River School District,012683000000
2700123,Howard Lake-Waverly-Winsted,012687000000
2700108,Pipestone Area School District,012689000000
2791450,Mesabi East School District,012711000000
2700124,Fairmont Area School District,012752000000
2700109,Long Prairie-Grey Eagle School District,012753000000
2700110,Cedar Mountain School District,012754000000
2700383,Morris Area Public Schools,012769000000
2745735,Zumbrota-Mazeppa School District,012805000000
2791451,Janesville-Waldorf-Pemberton,012835000000
2700125,Lac qui Parle Valley School District,012853000000
2700126,Ada-Borup Public School District,012854000000
2700127,Stephen-Argyle Central Schools,012856000000
2700128,Glencoe-Silver Lake School District,012859000000
2700130,Blue Earth Area Public Schools,012860000000
2700132,Red Rock Central School District,012884000000
2700148,Glenville-Emmons School District,012886000000
2700150,Clinton-Graceville-Beardsley,012888000000
2700162,Lake Park Audubon School District,012889000000
2700163,Renville County West School District,012890000000
2700231,Jackson County Central School District,012895000000
2700182,Redwood Area School District,012897000000
2700183,Westbrook-Walnut Grove Schools,012898000000
2700287,Plainview-Elgin-Millville,012899000000
2700294,RTR Public Schools,012902000000
2700328,Ortonville Public Schools,012903000000
2700326,Tracy Area Public School District,012904000000
2700379,Tri-City United School District,012905000000
2700385,Red Lake County Central Public Schools,012906000000
2700388,Round Lake-Brewster Public Schools,012907000000
2700382,Brandon-Evansville Public Schools,012908000000
