censusid,popcount,mhi,id,dname,lat,lng,admtotal,generalfundexpends,perpupilexpends,avgteachersalary,readingproficiency
2730450,700,57708,2730450,Red Lake Falls Public School District,47.8693921,-96.2982327,369.44,4449884,12044.94,50961,59.0128571
2700022,1800,45704,2700022,Wadena-Deer Creek School District,46.434274,-95.1865091,1042.4,10328152,9908.05,50978,55.8785714
2741060,1300,59754,2741060,Wabasha-Kellogg Public School District,44.3128249,-92.0308892,524.51,5959455,11361.95,51041,65.0828571
2700328,950,51321,2700328,Ortonville Public Schools,45.2577515,-96.3329085,511.04,6046109,11830.99,51094,58.1571429
2744190,850,64279,2744190,Wrenshall Public School District,46.5190014,-92.3437281,364.46,3952098,10843.71,51121,54.7228571
2700104,2000,57644,2700104,West Central Area,45.8922198,-95.9716478,785.5,9139582,11635.37,51224,69.4728571
2723520,1300,56435,2723520,New York Mills Public School District,46.5498881,-95.3431901,739.75,6706695,9066.16,51507,60.0085714
2704050,1500,85096,2704050,Belle Plaine Public School District,44.6196812,-93.7819675,1599.93,14951404,9345.04,51508,63.2614286
2713860,1200,52578,2713860,Henning Public School District,46.31903,-95.4644919,374.48,4251043,11351.86,51598,64.7157143
2700382,1500,63897,2700382,Brandon-Evansville Public Schools,45.9963965,-95.6617685,480.76,4726135,9830.55,51657,62.2442857
2709690,750,56850,2709690,Cromwell-Wright Public Schools,46.6705876,-92.9108987,323.59,4906784,15163.58,51681,55.3514286
2728230,3200,58450,2728230,Perham-Dent Public School District,46.5746195,-95.6476793,1520.35,15271710,10044.86,51687,61.9742857
2707500,1800,72946,2707500,Cannon Falls Public School District,44.478968,-92.8530418,1153.09,11755018,10194.36,51704,62.4742857
2791446,750,45667,2791446,Tri-County School District,48.6133652,-96.5350604,190.77,2637397,13825.01,51785,66.37
2700108,1900,50663,2700108,Pipestone Area School District,43.9778346,-96.3110668,1150.65,12085558,10503.24,51796,55.4757143
2732070,1000,86518,2732070,Rockford Public School District,45.1037223,-93.6742182,1637.45,16417041,10025.98,51817,67.9671429
2700183,1200,54236,2700183,Westbrook-Walnut Grove Schools,44.1304554,-95.4523926,362.63,4998047,13782.77,51941,54.8528571
2723490,3900,62315,2723490,New Ulm Public School District,44.2913516,-94.4685705,2141.47,23115819,10794.37,52039,57.7357143
2717250,1500,63385,2717250,La Crescent-Hokah School District,43.8013367,-91.335884,1108.1,12031091,10857.41,52112,55.13
2700109,2000,49617,2700109,Long Prairie-Grey Eagle School District,45.9300277,-94.8429574,955.64,8893097,9305.91,52155,38.3971429
2728080,3400,53944,2728080,Park Rapids Public School District,47.0227262,-95.1357955,1670.67,16104587,9639.6,52168,51.7957143
2708910,650,43796,2708910,Chisholm Public School District,47.541039,-92.8621902,728.18,8113580,11142.27,52284,59.0128571
2711085,2000,42910,2711085,East Central School District,46.2146579,-92.5934769,739.97,7746194,10468.25,52288,51.1885714
2740680,900,52689,2740680,Truman Public School District,43.8412678,-94.4373776,211.57,2502616,11828.78,52419,57.6085714
2700088,1100,60331,2700088,Lakeview School District,44.608687,-95.6348351,635.32,6536438,10288.42,52430,64.71
2740665,2200,63616,2740665,Triton School District,44.0816379,-92.9166166,1099.54,9955048,9053.83,52437,50.0985714
2709330,900,80156,2709330,Cleveland Public School District,44.3053501,-93.8195353,509.65,4664608,9152.57,52481,66.7842857
2717100,2200,68889,2717100,Kenyon-Wanamingo School District,44.2935274,-92.916876,774.45,8775631,11331.44,52574,53.3314286
2705730,1500,48125,2705730,Blackduck Public School District,47.6928832,-94.5782797,655.95,7002715,10675.68,52621,48.21
2733870,2400,61064,2733870,St. Peter Public School District,44.339203,-94.0012314,2218.28,23104762,10415.62,52636,59.4428571
2714280,1000,62212,2714280,Houston Public School District,43.77677,-91.5745845,1923.5,19059114,9908.56,52665,57.9471429
2741880,1800,51087,2741880,Waseca Public School District,44.0788088,-93.5189102,1852.86,20317439,10965.45,52667,55.07
2733390,1100,54421,2733390,Springfield Public School District,44.2607998,-94.9772089,559.52,5576610,9966.78,52708,68.5971429
