censusID,mHI,mHI_MOE,NoComp_Cnt,NoComp_Pct,YesComp_Cnt,YesCom_Pct,NoInternet_Cnt,NoInternet_Pct,YesInternet_Cnt,YesInternet_Pct
2744070,51023,2176,1687,9.774044032,15573,90.22595597,2170,12.23017528,15573,87.76982472
2744160,51998,5198,842,12.92005524,5675,87.07994476,1169,17.08065459,5675,82.91934541
2744190,64279,3835,123,13.75838926,771,86.24161074,175,18.49894292,771,81.50105708
2745735,71689,6337,327,10.08014797,2917,89.91985203,399,12.03256936,2917,87.96743064
2791446,45667,2879,198,18.53932584,870,81.46067416,242,21.76258993,870,78.23741007
2791447,64241,5550,112,11.30171544,879,88.69828456,125,12.4501992,879,87.5498008
2791448,49868,5934,171,20.04689332,682,79.95310668,230,25.21929825,682,74.78070175
2791449,49750,3731,273,16.76904177,1355,83.23095823,306,18.42263697,1355,81.57736303
2791450,53538,2901,596,15.23906929,3315,84.76093071,716,17.76234185,3315,82.23765815
2718070,64745,3211,383,11.56400966,2929,88.43599034,604,17.09595245,2929,82.90404755
2723850,69368,2509,2522,7.443919717,31358,92.55608028,2903,8.473191092,31358,91.52680891
2700125,47912,2130,586,16.53965566,2957,83.46034434,684,18.78604779,2957,81.21395221
2700326,55949,3636,305,12.2,2195,87.8,417,15.96477795,2195,84.03522205
2703030,62353,4101,95,14.28571429,570,85.71428571,111,16.29955947,570,83.70044053
2700023,56983,5599,258,13.25796506,1688,86.74203494,372,18.05825243,1688,81.94174757
2700091,62614,4911,246,11.98830409,1806,88.01169591,342,15.92178771,1806,84.07821229
2700099,56944,5103,342,10.88478676,2800,89.11521324,456,14.004914,2800,85.995086
2700100,58255,3563,378,15.54915673,2053,84.45084327,495,19.42700157,2053,80.57299843
2700104,57644,2249,274,11.16089613,2181,88.83910387,393,15.26806527,2181,84.73193473
2700123,65680,3789,439,11.1082996,3513,88.8917004,611,14.8157129,3513,85.1842871
2700130,51337,2140,633,15.30834341,3502,84.69165659,792,18.44434094,3502,81.55565906
2700150,53529,4503,235,18.87550201,1010,81.12449799,284,21.94744977,1010,78.05255023
2700287,72169,3217,381,11.07236269,3060,88.92763731,520,14.52513966,3060,85.47486034
2700294,59226,5818,232,13.83422779,1445,86.16577221,337,18.91133558,1445,81.08866442
2700328,51321,3400,288,15.40106952,1582,84.59893048,341,17.73270931,1582,82.26729069
2705660,61172,4215,312,12.95681063,2096,87.04318937,567,21.29177619,2096,78.70822381
2707200,81657,2897,869,6.79065406,11928,93.20934594,1159,8.856116757,11928,91.14388324
2708070,40507,2318,326,16.68372569,1628,83.31627431,422,20.58536585,1628,79.41463415
2708190,101661,4556,914,4.164957849,21031,95.83504215,1351,6.036100438,21031,93.96389956
2709360,54688,8094,50,13.05483029,333,86.94516971,78,18.97810219,333,81.02189781
2709440,70772,4309,620,10.71922545,5164,89.28077455,774,13.03469182,5164,86.96530818
2710260,66000,6438,345,13.27433628,2254,86.72566372,456,16.82656827,2254,83.17343173
2712580,56806,2802,418,14.57970003,2449,85.42029997,623,20.27994792,2449,79.72005208
2713040,68214,4530,85,10.6918239,710,89.3081761,145,16.95906433,710,83.04093567
2715000,47418,5530,712,14.53357828,4187,85.46642172,991,19.13866358,4187,80.86133642
2717120,54309,3729,173,13.53677621,1105,86.46322379,238,17.72151899,1105,82.27848101
2718060,55335,3576,172,16.94581281,843,83.05418719,205,19.5610687,843,80.4389313
2718960,55662,3528,265,12.78340569,1808,87.21659431,352,16.2962963,1808,83.7037037
2700105,54767,3813,311,15.44957774,1702,84.55042226,424,19.94355597,1702,80.05644403
2723910,79551,3956,345,9.857142857,3155,90.14285714,427,11.92071468,3155,88.07928532
2728200,56519,3183,398,8.517012626,4275,91.48298737,532,11.06719368,4275,88.93280632
2700013,63040,5863,366,11.88697629,2713,88.11302371,511,15.84987593,2713,84.15012407
2700106,58309,2850,305,11.45755071,2357,88.54244929,508,17.73123909,2357,82.26876091
2700379,66409,3464,564,10.58359917,4765,89.41640083,759,13.74004345,4765,86.25995655
2728230,58450,3794,637,11.83574879,4745,88.16425121,885,15.71936057,4745,84.28063943
2732390,94036,2384,2387,4.047752285,56584,95.95224771,3822,6.327186041,56584,93.67281396
2732880,57732,3349,1051,9.805933943,9667,90.19406606,1288,11.7571885,9667,88.2428115
2742120,47107,2565,251,17.14480874,1213,82.85519126,303,19.98680739,1213,80.01319261
2742270,72556,2556,1701,8.573156595,18140,91.42684341,2331,11.38683992,18140,88.61316008
2742330,46813,4707,157,12.80587276,1069,87.19412724,211,16.484375,1069,83.515625
2791445,66947,3933,300,10.98498718,2431,89.01501282,392,13.88593695,2431,86.11406305
2791451,73880,3078,252,11.52263374,1935,88.47736626,336,14.79524439,1935,85.20475561
2700382,63897,6400,150,9.511731135,1427,90.48826886,241,14.44844125,1427,85.55155875
2700383,57593,5862,415,12.07448356,3022,87.92551644,492,14.0011383,3022,85.9988617
2700385,57159,5152,135,14.13612565,820,85.86387435,158,16.15541922,820,83.84458078
2706240,46815,7895,409,11.30771357,3208,88.69228643,699,17.89096493,3208,82.10903507
2706300,53404,2964,387,20.0622084,1542,79.9377916,478,23.66336634,1542,76.33663366
2707290,74969,2362,1374,4.849982351,26956,95.15001765,2636,8.907812922,26956,91.09218708
2707320,53250,8863,64,13.70449679,403,86.29550321,97,19.4,403,80.6
2707350,88056,5504,120,3.722084367,3104,96.27791563,253,7.536490915,3104,92.46350909
2707380,57775,5850,415,13.8656866,2578,86.1343134,550,17.5831202,2578,82.4168798
2707410,73288,2357,1282,10.37552606,11074,89.62447394,1767,13.76061054,11074,86.23938946
2707450,60469,6479,36,13.58490566,229,86.41509434,48,17.32851986,229,82.67148014
2707470,54132,4107,324,18.44052362,1433,81.55947638,418,22.5823879,1433,77.4176121
2707500,72946,3328,320,9.17168243,3169,90.82831757,503,13.69825708,3169,86.30174292
