GEO_ID,NAME,S1901_C01_001E,S1901_C02_001E,S1901_C03_001E,S1901_C04_004E,S1901_C01_012E,S1901_C01_012M,S1901_C02_012E,S1901_C02_012M,S1901_C03_012E,S1901_C04_012E,S1901_C01_013E,S1901_C02_013E
id,Geographic Area Name,Estimate!!Households!!Total,Estimate!!Families!!Total,Estimate!!Married-couple families!!Total,"Estimate!!Nonfamily households!!Total!!$15,000 to $24,999",Estimate!!Households!!Median income (dollars),Margin of Error!!Households MOE!!Median income (dollars),Estimate!!Families!!Median income (dollars),Margin of Error!!Families MOE!!Median income (dollars),Estimate!!Married-couple families!!Median income (dollars),Estimate!!Nonfamily households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Estimate!!Families!!Mean income (dollars)
9700000US2723970,"Ogilvie Public School District, Minnesota",1402,1001,868,12.7,59297,3192,68698,5931,75000,37337,68321,75853
9700000US2725050,"Onamia Public School District, Minnesota",2215,1353,979,16.8,44358,3966,56599,2395,65040,29524,58714,67017
9700000US2725080,"Orono Public School District, Minnesota",4825,3414,2897,8,113341,14410,148750,21762,185446,49598,201130,251532
9700000US2725140,"Osakis Public School District, Minnesota",1622,1112,934,18.4,54559,2314,63833,6621,67286,33971,68482,76840
9700000US2725200,"Osseo Public School District, Minnesota",54291,38295,29107,10.2,83984,1586,98590,3931,114362,49528,104170,118990
9700000US2728050,"Owatonna Public School District, Minnesota",11841,7692,6406,15.6,62342,2526,81022,3263,88652,36030,76514,93527
9700000US2728080,"Park Rapids Public School District, Minnesota",5218,3593,2938,25.2,53944,2749,64003,3099,72069,28630,67508,78610
9700000US2728110,"Parkers Prairie Public School District, Minnesota",1124,797,693,23.5,59044,3102,69219,3394,72679,33958,65768,75212
9700000US2728140,"Paynesville Public School District, Minnesota",2542,1698,1412,14.8,60821,3050,70056,2904,79524,36667,75981,87261
9700000US2728170,"Pelican Rapids Public School District, Minnesota",2869,2164,1874,12.3,63799,2885,71909,3664,78750,34432,85120,95859
9700000US2728200,"Pequot Lakes Public Schools, Minnesota",4275,2934,2610,22.4,56519,3183,71571,3138,75724,32557,80483,96152
9700000US2728230,"Perham-Dent Public School District, Minnesota",4745,3127,2694,13.6,58450,3794,72726,4702,77118,38041,74615,88570
9700000US2728290,"Rushford-Peterson Public Schools, Minnesota",1610,1169,983,15.6,58448,3782,70179,6754,78229,32417,70824,79627
9700000US2728320,"Pierz Public School District, Minnesota",2039,1481,1188,21.3,58750,3016,66507,3782,72317,29375,73984,83391
9700000US2728350,"Pillager Public School District, Minnesota",2226,1626,1451,17.2,65490,4279,73939,4872,77644,36667,83391,96691
9700000US2728380,"Pine City Public School District, Minnesota",4066,2539,2003,16.7,52857,3561,64970,4739,72042,26807,68529,82362
9700000US2728950,"Pine Island Public School District, Minnesota",2486,1842,1491,6.2,75500,7720,91118,8443,103814,40806,90747,104253
9700000US2728970,"Pine River-Backus Public School District, Minnesota",3312,2183,1820,21.5,47398,1667,55689,3129,63795,26897,59239,68644
9700000US2730030,"Princeton Public School District, Minnesota",7419,5498,4342,20.2,70664,4206,79701,3415,90991,36621,82461,89234
9700000US2730060,"Prior Lake-Savage Area Schools, Minnesota",15880,12296,10701,12.1,108621,4248,121505,3076,129245,53548,127608,140884
9700000US2730090,"Proctor Public School District, Minnesota",5281,3438,3031,15.4,66959,5286,82523,5812,85707,39880,79523,92736
9700000US2730150,"Randolph Public School District, Minnesota",879,664,618,6.5,89554,5723,101250,10218,106081,55750,98102,107861
9700000US2730450,"Red Lake Falls Public School District, Minnesota",951,630,520,15,57708,7969,78864,1948,85455,26938,68101,84563
9700000US2730480,"Red Wing Public School District, Minnesota",8262,5218,4065,14.7,58343,5032,74982,7476,87737,29094,74976,91689
9700000US2730510,"Red Lake Public School District, Minnesota",1457,1099,250,15.4,35919,3062,35638,3546,67273,16923,42200,41622
9700000US2730870,"Northland Community Schools, Minnesota",2259,1445,1189,16.8,44496,3514,55847,3207,62902,28000,58523,68176
9700000US2731750,"Richfield Public School District, Minnesota",18310,9258,7136,12,61358,2876,81201,4774,91504,42019,78512,94658
9700000US2731780,"Robbinsdale Public School District, Minnesota",42369,25603,19053,15.1,66557,1958,86465,3516,103101,40929,87478,106063
9700000US2731800,"Rochester Public School District, Minnesota",50929,32847,26518,13.3,73618,2178,94731,2157,107976,41551,99522,123005
9700000US2732070,"Rockford Public School District, Minnesota",3497,2634,2316,9.7,86518,6575,100149,8761,106100,42216,112941,129671
