,district_name,state_code,school_code,geo_id,pop_count,mhi,mhi_moe,no_comp,yes_comp,percent_comp,percent_nocomp,no_int,yes_int,percent_int,percent_noint
2723010,"Mountain Lake Public Schools, Minnesota",27,23010,2723010,650,52589,5134,221,1272,195.69,34.0,294,1272,195.69,45.23
2723310,"Nashwauk-Keewatin School District, Minnesota",27,23310,2723310,950,54010,3338,279,1712,180.21,29.37,392,1712,180.21,41.26
2728960,"Pine Point Public School District, Minnesota",27,28960,2728960,200,26313,573,15,110,55.0,7.5,21,110,55.0,10.5
"2799999    2799999
2799999    2799999
Name: geo_id, dtype: object","Remainder of Minnesota, Minnesota",27,99999,2799999,769000,68437,277,208684,2164656,281.49,27.14,283696,2164656,281.49,36.89
2700388,"Round Lake-Brewster Public Schools, Minnesota",27,00388,2700388,800,60556,7108,104,710,88.75,13.0,136,710,88.75,17.0
2707110,"Browns Valley Public School District, Minnesota",27,07110,2707110,200,39667,10202,72,344,172.0,36.0,91,344,172.0,45.5
2715540,"Ivanhoe Public School District, Minnesota",27,15540,2715540,450,52260,3122,112,577,128.22,24.89,134,577,128.22,29.78
2718390,"Lynd Public School District, Minnesota",27,18390,2718390,550,74688,10531,35,427,77.64,6.36,63,427,77.64,11.45
2721210,"Milroy Public School District, Minnesota",27,21210,2721210,350,62750,8229,30,277,79.14,8.57,52,277,79.14,14.86
2733720,"Nett Lake Public School District, Minnesota",27,33720,2733720,250,26563,8508,39,142,56.8,15.6,32,142,56.8,12.8
2717460,"Lake Benton Public School District, Minnesota",27,17460,2717460,500,53750,8242,111,558,111.6,22.2,122,558,111.6,24.4
