GEOID,NAME,LAT,LON
2702720,Southland Public School District,43.6241708,-92.7431067
2708100,Centennial Public School District,45.15546,-93.106858
2707500,Cannon Falls Public School District,44.478968,-92.8530418
2730150,Randolph Public School District,44.5396097,-93.0106439
2711820,Farmington Public School District,44.6298858,-93.1272429
2733330,Spring Lake Park Public Schools,45.1448127,-93.2105141
2704050,Belle Plaine Public School District,44.6196812,-93.7819675
2705790,Bloomington Public School District,44.8296656,-93.315217
2732070,Rockford Public School District,45.1037223,-93.6742182
2718750,Mahtomedi Public School District,45.0855899,-92.9479147
2742270,West St. Paul-Mendota Heights-Eagan,44.873609,-93.1412907
2732390,Rosemount-Apple Valley-Eagan,44.7517975,-93.1233268
2733790,St. Michael-Albertville School District,45.2218137,-93.679032
2730060,Prior Lake-Savage Area Schools,44.7026583,-93.4149192
2723430,New Prague Area Schools,44.5562905,-93.5121778
2700013,Waterville-Elysian-Morristown Public School District,44.245235,-93.5755875
2707290,Burnsville Public School District,44.7875938,-93.3081439
2715750,Jordan Public School District,44.6509943,-93.5727788
2717780,Lakeville Public School District,44.6343539,-93.2908232
2733000,Shakopee Public School District,44.7434421,-93.5100297
2732430,Roseville Public School District,45.0121283,-93.1338462
2742360,White Bear Lake School District,45.1013449,-93.0247794
2722950,Mounds View Public School District,45.0835001,-93.1554309
2723850,North St. Paul-Maplewood-Oakdale School District,44.9829666,-92.9808588
2718090,Lewiston-Altura Public School District,44.0024757,-91.8789758
2744070,Winona Area Public School District,43.9892275,-91.6630395
2707380,Caledonia Public School District,43.6137125,-91.4305114
2733810,South Washington County School District,44.8546881,-92.9284365
2738190,Stillwater Area Public School District,45.0376019,-92.8353427
2703030,Alden-Conger Public School District,43.6364923,-93.5615029
2741060,Wabasha-Kellogg Public School District,44.3128249,-92.0308892
2717250,La Crescent-Hokah School District,43.8013367,-91.335884
2714280,Houston Public School District,43.77677,-91.5745845
2706240,Brooklyn Center School District,45.067676,-93.3020893
2714260,Hopkins Public School District,44.9378091,-93.4124817
2731750,Richfield Public School District,44.877133,-93.2873664
2709510,Columbia Heights Public School District,45.0522498,-93.2538287
2700089,NRHEG School District,43.8850975,-93.4117599
2728050,Owatonna Public School District,44.0443277,-93.2162179
2733420,St. Anthony-New Brighton Schools,45.0303318,-93.2154174
2733780,St. Louis Park Public School District,44.948693,-93.3637621
2791451,Janesville-Waldorf-Pemberton,44.028136,-93.7224228
2709330,Cleveland Public School District,44.3053501,-93.8195353
